word,inaugurals_pretrump,election2016_speeches_trump,"arctan2(inaugurals_pretrump,election2016_speeches_trump)"
oversee,1.53955106691e-05,3.74695559858e-05,-0.503626540018
earned,1.53955106691e-05,3.74695559858e-05,-0.503626540018
overriding,1.53955106691e-05,3.74695559858e-05,-0.503626540018
asian,1.53955106691e-05,3.74695559858e-05,-0.503626540018
overreach,1.53955106691e-05,3.74695559858e-05,-0.503626540018
crimea,1.53955106691e-05,3.74695559858e-05,-0.503626540018
49,1.53955106691e-05,3.74695559858e-05,-0.503626540018
investigate,3.07910213382e-05,7.49391119715e-05,-0.503626540018
gunpoint,1.53955106691e-05,3.74695559858e-05,-0.503626540018
forces,1.53955106691e-05,3.74695559858e-05,-0.503626540018
football,1.53955106691e-05,3.74695559858e-05,-0.503626540018
account,0.00016935061736,0.000412165115843,-0.503626540018
hoosier,1.53955106691e-05,3.74695559858e-05,-0.503626540018
hook,1.53955106691e-05,3.74695559858e-05,-0.503626540018
brutal,3.07910213382e-05,7.49391119715e-05,-0.503626540018
banker,1.53955106691e-05,3.74695559858e-05,-0.503626540018
bloat,1.53955106691e-05,3.74695559858e-05,-0.503626540018
shred,1.53955106691e-05,3.74695559858e-05,-0.503626540018
brandon,1.53955106691e-05,3.74695559858e-05,-0.503626540018
sand,1.53955106691e-05,3.74695559858e-05,-0.503626540018
62,1.53955106691e-05,3.74695559858e-05,-0.503626540018
v.a.,1.53955106691e-05,3.74695559858e-05,-0.503626540018
casey,1.53955106691e-05,3.74695559858e-05,-0.503626540018
beautifully,1.53955106691e-05,3.74695559858e-05,-0.503626540018
--a,1.53955106691e-05,3.74695559858e-05,-0.503626540018
sky,6.15820426764e-05,0.000149878223943,-0.503626540018
bomber,1.53955106691e-05,3.74695559858e-05,-0.503626540018
"540,000",1.53955106691e-05,3.74695559858e-05,-0.503626540018
baton,1.53955106691e-05,3.74695559858e-05,-0.503626540018
smash,1.53955106691e-05,3.74695559858e-05,-0.503626540018
sergeant,1.53955106691e-05,3.74695559858e-05,-0.503626540018
rogue,1.53955106691e-05,3.74695559858e-05,-0.503626540018
1.5,1.53955106691e-05,3.74695559858e-05,-0.503626540018
chiefs,1.53955106691e-05,3.74695559858e-05,-0.503626540018
fundraiser,1.53955106691e-05,3.74695559858e-05,-0.503626540018
bricklayer,1.53955106691e-05,3.74695559858e-05,-0.503626540018
7-point,1.53955106691e-05,3.74695559858e-05,-0.503626540018
"60,000",1.53955106691e-05,3.74695559858e-05,-0.503626540018
bubble,1.53955106691e-05,3.74695559858e-05,-0.503626540018
funnel,1.53955106691e-05,3.74695559858e-05,-0.503626540018
cairo,1.53955106691e-05,3.74695559858e-05,-0.503626540018
sided,1.53955106691e-05,3.74695559858e-05,-0.503626540018
breach,3.07910213382e-05,7.49391119715e-05,-0.503626540018
footage,1.53955106691e-05,3.74695559858e-05,-0.503626540018
fdr,1.53955106691e-05,3.74695559858e-05,-0.503626540018
saying,1.53955106691e-05,3.74695559858e-05,-0.503626540018
stats,1.53955106691e-05,3.74695559858e-05,-0.503626540018
